	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
652	대한민국	5	0	5	0.00%	100.00%
653	대명	5	0	5	0.00%	100.00%
654	대공원	5	0	5	0.00%	100.00%
655	답	5	0	5	0.00%	100.00%
656	네이버	5	0	5	0.00%	100.00%
657	내용	5	0	5	0.00%	100.00%
658	내년	5	0	5	0.00%	100.00%
659	낭비	5	0	5	0.00%	100.00%
660	낭	5	0	5	0.00%	100.00%
661	나드리	5	0	5	0.00%	100.00%
662	꿈	5	0	5	0.00%	100.00%
663	꽃	5	0	5	0.00%	100.00%
664	기온	5	0	5	0.00%	100.00%
665	기반	5	0	5	0.00%	100.00%
666	기림사	5	0	5	0.00%	100.00%
667	글	5	0	5	0.00%	100.00%
668	그동안	5	0	5	0.00%	100.00%
669	궁터	5	0	5	0.00%	100.00%
670	군요	5	0	5	0.00%	100.00%
671	구체	5	0	5	0.00%	100.00%
672	구성원	5	0	5	0.00%	100.00%
673	여름	5	0	5	0.00%	100.00%
674	어려움	5	0	5	0.00%	100.00%
675	열차	5	0	5	0.00%	100.00%
676	코트	5	0	5	0.00%	100.00%
677	카테고리	5	0	5	0.00%	100.00%
678	카카오	5	0	5	0.00%	100.00%
679	카메라	5	0	5	0.00%	100.00%
680	취향	5	0	5	0.00%	100.00%
681	출발지	5	0	5	0.00%	100.00%
682	예	5	0	5	0.00%	100.00%
683	최초	5	0	5	0.00%	100.00%
684	최대한	5	0	5	0.00%	100.00%
685	최근	5	0	5	0.00%	100.00%
686	초반	5	0	5	0.00%	100.00%
687	체크인	5	0	5	0.00%	100.00%
688	첨	5	0	5	0.00%	100.00%
689	천군동	5	0	5	0.00%	100.00%
690	참조	5	0	5	0.00%	100.00%
691	집행	5	0	5	0.00%	100.00%
692	질	5	0	5	0.00%	100.00%
693	직전	5	0	5	0.00%	100.00%
694	지인	5	0	5	0.00%	100.00%
695	지역민	5	0	5	0.00%	100.00%
696	컴퓨터	5	0	5	0.00%	100.00%
697	콘도	5	0	5	0.00%	100.00%
698	중학교	5	0	5	0.00%	100.00%
699	테마파크	5	0	5	0.00%	100.00%
700	흥미	5	0	5	0.00%	100.00%
701	휴식	5	0	5	0.00%	100.00%
702	황지	5	0	5	0.00%	100.00%
703	황룡	5	0	5	0.00%	100.00%
704	활용	5	0	5	0.00%	100.00%
705	활동	5	0	5	0.00%	100.00%
706	형편	5	0	5	0.00%	100.00%
707	행복	5	0	5	0.00%	100.00%
708	해몽	5	0	5	0.00%	100.00%
709	해결책	5	0	5	0.00%	100.00%
710	한화	5	0	5	0.00%	100.00%
711	학교	5	0	5	0.00%	100.00%
712	폴라로이드	5	0	5	0.00%	100.00%
713	포토	5	0	5	0.00%	100.00%
714	평지	5	0	5	0.00%	100.00%
715	평상시	5	0	5	0.00%	100.00%
716	파크	5	0	5	0.00%	100.00%
717	토함산	5	0	5	0.00%	100.00%
718	텍스	5	0	5	0.00%	100.00%
719	지리	5	0	5	0.00%	100.00%
720	추도	5	0	5	0.00%	100.00%
721	중학	5	0	5	0.00%	100.00%
722	원릉	5	0	5	0.00%	100.00%
723	자녀	5	0	5	0.00%	100.00%
724	입장	5	0	5	0.00%	100.00%
725	입실	5	0	5	0.00%	100.00%
726	이틀	5	0	5	0.00%	100.00%
727	이맘때	5	0	5	0.00%	100.00%
728	의미	5	0	5	0.00%	100.00%
729	유산	5	0	5	0.00%	100.00%
730	월드컵	5	0	5	0.00%	100.00%
731	워터	5	0	5	0.00%	100.00%
732	자전거	5	0	5	0.00%	100.00%
733	움직임	5	0	5	0.00%	100.00%
734	우양	5	0	5	0.00%	100.00%
735	용시	5	0	5	0.00%	100.00%
736	중반	5	0	5	0.00%	100.00%
737	왕자	5	0	5	0.00%	100.00%
738	오릉	5	0	5	0.00%	100.00%
739	오랫동안	5	0	5	0.00%	100.00%
740	예전	5	0	5	0.00%	100.00%
741	자신	5	0	5	0.00%	100.00%
742	요즘	5	0	5	0.00%	100.00%
743	작년	5	0	5	0.00%	100.00%
744	조금	5	0	5	0.00%	100.00%
745	줄	5	0	5	0.00%	100.00%
746	주머니	5	0	5	0.00%	100.00%
747	종합	5	0	5	0.00%	100.00%
748	존	5	0	5	0.00%	100.00%
749	조화	5	0	5	0.00%	100.00%
750	조심	5	0	5	0.00%	100.00%
751	조립식	5	0	5	0.00%	100.00%
752	조사	5	0	5	0.00%	100.00%
753	제외	5	0	5	0.00%	100.00%
754	제안	5	0	5	0.00%	100.00%
755	정서	5	0	5	0.00%	100.00%
756	접근성	5	0	5	0.00%	100.00%
757	전역	5	0	5	0.00%	100.00%
758	전남	5	0	5	0.00%	100.00%
759	재미	5	0	5	0.00%	100.00%
760	잔치국수	5	0	5	0.00%	100.00%
761	작품	5	0	5	0.00%	100.00%
762	통제	4	0	4	0.00%	100.00%
763	일본	0	4	4	100.00%	0.00%
764	오타쿠	0	4	4	100.00%	0.00%
765	애니	0	4	4	100.00%	0.00%
766	라면	0	4	4	100.00%	0.00%
767	휴무일	4	0	4	0.00%	100.00%
768	정상	4	0	4	0.00%	100.00%
769	방해	4	0	4	0.00%	100.00%
770	고요	4	0	4	0.00%	100.00%
771	신경주역	4	0	4	0.00%	100.00%
772	기상청	3	0	3	0.00%	100.00%
773	뉴스	3	0	3	0.00%	100.00%
774	비피	3	0	3	0.00%	100.00%
775	주변	0	3	3	100.00%	0.00%
776	전북	0	3	3	100.00%	0.00%
777	아중	0	3	3	100.00%	0.00%
778	수지	0	3	3	100.00%	0.00%
779	레일바이크	0	3	3	100.00%	0.00%
780	떡갈비	0	3	3	100.00%	0.00%
781	동네	0	3	3	100.00%	0.00%
782	다양	0	2	2	100.00%	0.00%
783	모주	0	2	2	100.00%	0.00%
784	테이	2	0	2	0.00%	100.00%
785	청공	2	0	2	0.00%	100.00%
786	쥴	2	0	2	0.00%	100.00%
787	이튿날	2	0	2	0.00%	100.00%
788	옥스	2	0	2	0.00%	100.00%
789	스테이	2	0	2	0.00%	100.00%
790	소록	2	0	2	0.00%	100.00%
791	카페이	0	1	1	100.00%	0.00%
792	용추	0	1	1	100.00%	0.00%
793	유익	0	1	1	100.00%	0.00%
794	찜질방	0	1	1	100.00%	0.00%
795	통합	0	1	1	100.00%	0.00%
796	차선	1	0	1	0.00%	100.00%
797	용권	0	1	1	100.00%	0.00%
798	전용	1	0	1	0.00%	100.00%
799	권역	1	0	1	0.00%	100.00%
800	연중무휴	1	0	1	0.00%	100.00%
801	운행	1	0	1	0.00%	100.00%
802	패스	0	1	1	100.00%	0.00%
